short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
R. Funes Mori,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,30,4,1,77.0,77.0,68.0,74.0,43.0,81.0,82,77,74,75,69,74,78
V. Aboubakar,ST,77,77,10500000.0,7.021189299069938,2024.0,3.0,29,4,2,75.0,75.0,71.0,78.0,36.0,80.0,75,75,76,77,72,80,77
G. Defrel,"CAM, ST, LW",77,77,10000000.0,7.0,2024.0,3.0,30,3,2,82.0,77.0,68.0,81.0,36.0,51.0,77,68,75,79,78,82,79
Zé Luís,ST,77,77,10500000.0,7.021189299069938,2023.0,2.0,30,4,1,80.0,75.0,59.0,75.0,33.0,80.0,77,82,76,80,66,78,78
L. Trossard,"LM, LW, ST",77,78,12500000.0,7.096910013008056,2023.0,2.0,26,4,1,82.0,76.0,74.0,80.0,30.0,61.0,76,62,74,76,79,77,75
C. Bacca,ST,77,77,5000000.0,6.698970004336019,2022.0,1.0,34,3,3,67.0,75.0,64.0,75.0,33.0,65.0,78,75,77,78,60,77,83
Y. Poulsen,ST,77,78,12500000.0,7.096910013008056,2024.0,3.0,27,3,2,82.0,70.0,67.0,73.0,56.0,81.0,74,85,75,73,58,75,81
N. Maupay,ST,77,82,16000000.0,7.204119982655925,2023.0,2.0,24,4,1,77.0,78.0,67.0,73.0,41.0,71.0,80,73,76,78,71,78,82
Santi Mina,"ST, RW",77,81,15000000.0,7.176091259055681,2024.0,3.0,25,3,1,75.0,77.0,69.0,76.0,49.0,72.0,79,76,74,78,72,78,81
F. Acheampong,"LW, ST",77,77,11000000.0,7.041392685158225,2022.0,1.0,27,3,1,94.0,76.0,68.0,81.0,49.0,77.0,78,55,67,79,72,74,75
A. Hamdallah,ST,77,77,10500000.0,7.021189299069938,2022.0,1.0,30,4,2,74.0,78.0,70.0,77.0,30.0,72.0,82,74,73,80,70,76,80
S. Guirassy,ST,77,81,15000000.0,7.176091259055681,2025.0,4.0,25,3,2,71.0,77.0,66.0,75.0,38.0,76.0,80,75,73,76,71,79,79
I. Bebou,"ST, RM",77,77,11500000.0,7.060697840353612,2023.0,2.0,27,3,2,90.0,75.0,68.0,80.0,34.0,64.0,77,64,70,76,71,77,80
L. Waldschmidt,"CF, ST",77,82,15500000.0,7.190331698170292,2025.0,4.0,25,3,1,74.0,80.0,70.0,76.0,29.0,62.0,79,59,72,81,82,75,82
J. Dinenno,ST,77,78,12500000.0,7.096910013008056,2022.0,1.0,26,3,1,69.0,78.0,57.0,68.0,27.0,73.0,83,83,67,77,74,75,81
M. Zaccagni,"CF, ST",77,80,14000000.0,7.146128035678238,2023.0,2.0,26,4,1,78.0,71.0,75.0,80.0,60.0,68.0,73,66,61,72,71,79,77
M. Oršić,"LM, LW, ST",77,77,10500000.0,7.021189299069938,2025.0,4.0,28,4,2,90.0,82.0,71.0,77.0,56.0,62.0,81,50,78,82,86,73,78
B. Embolo,"ST, CAM",77,82,16000000.0,7.204119982655925,2023.0,2.0,24,4,2,85.0,73.0,70.0,74.0,51.0,82.0,69,71,64,84,71,74,82
J. Larsson,ST,77,84,21500000.0,7.332438459915605,2023.0,2.0,24,3,1,84.0,78.0,74.0,79.0,29.0,72.0,78,64,73,80,82,78,76
Soares,ST,77,77,10500000.0,7.021189299069938,2023.0,2.0,30,3,1,81.0,74.0,59.0,74.0,45.0,79.0,75,83,72,75,66,76,84
Melero,"CM, ST, LM",77,78,12000000.0,7.079181246047625,2023.0,2.0,27,3,1,63.0,76.0,74.0,72.0,73.0,76.0,77,75,73,76,75,76,81
B. Romero,"ST, RW, LW",77,77,10500000.0,7.021189299069938,2024.0,3.0,30,2,1,90.0,77.0,69.0,76.0,50.0,72.0,80,62,73,80,71,73,82
M. Marega,ST,77,77,10500000.0,7.021189299069938,2024.0,3.0,30,3,2,87.0,77.0,61.0,65.0,39.0,89.0,79,77,71,80,70,66,84
Nuno Padrenda,"ST, CAM",77,77,12000000.0,7.079181246047625,2024.0,3.0,25,4,1,82.0,73.0,77.0,82.0,52.0,70.0,72,64,63,75,79,85,82
T. Kadewere,"RW, ST",77,80,14000000.0,7.146128035678238,2024.0,3.0,25,3,2,83.0,76.0,69.0,78.0,38.0,71.0,79,69,69,78,68,77,79
A. Lookman,"LM, CAM, ST",77,83,16500000.0,7.217483944213907,2022.0,1.0,23,4,1,85.0,73.0,68.0,82.0,29.0,62.0,74,48,60,77,70,80,74
Rafa Mir,ST,77,84,21500000.0,7.332438459915605,2027.0,6.0,24,3,1,72.0,79.0,64.0,71.0,45.0,76.0,81,78,77,82,76,74,74
M. Terrier,"ST, LW",77,81,15500000.0,7.190331698170292,2025.0,4.0,24,3,2,84.0,77.0,74.0,76.0,35.0,66.0,78,69,68,78,77,77,79
S. Kalajdžić,ST,77,82,16000000.0,7.204119982655925,2023.0,2.0,23,3,2,61.0,73.0,66.0,73.0,45.0,70.0,82,86,68,74,61,78,80
N. González,"ST, LW",77,83,17000000.0,7.230448921378274,2026.0,5.0,23,2,2,87.0,71.0,64.0,82.0,45.0,60.0,79,80,68,69,54,83,79
R. Yaremchuk,ST,77,80,14000000.0,7.146128035678238,2026.0,5.0,25,3,1,79.0,76.0,70.0,71.0,45.0,75.0,78,75,72,77,73,77,80
P. Daka,ST,77,84,21500000.0,7.332438459915605,2026.0,5.0,22,3,1,93.0,78.0,59.0,76.0,24.0,71.0,82,67,73,76,71,76,80
Rafael Leão,"LW, ST, LM",77,82,16000000.0,7.204119982655925,2024.0,3.0,22,4,1,88.0,73.0,68.0,79.0,27.0,70.0,74,58,65,78,69,80,74
Vinícius,ST,77,80,14000000.0,7.146128035678238,2023.0,2.0,26,3,1,71.0,78.0,60.0,75.0,41.0,82.0,81,70,75,84,68,78,79
L. Suárez,"ST, LM, CAM",77,86,23500000.0,7.371067862271736,2022.0,1.0,23,4,1,86.0,78.0,65.0,74.0,40.0,79.0,83,65,71,78,71,72,79
Arthur Cabral,ST,77,85,23500000.0,7.371067862271736,2023.0,2.0,23,4,1,72.0,77.0,63.0,74.0,31.0,78.0,79,78,76,78,70,76,77
B. Dia,ST,77,83,17000000.0,7.230448921378274,2026.0,5.0,24,3,1,78.0,77.0,55.0,74.0,27.0,75.0,80,74,67,79,68,77,79
S. Weissman,ST,77,81,15000000.0,7.176091259055681,2024.0,3.0,25,4,1,77.0,79.0,65.0,71.0,32.0,70.0,82,79,79,78,71,73,83
N. Madueke,"RM, ST",77,88,23000000.0,7.361727836017593,2025.0,4.0,19,4,1,90.0,71.0,68.0,83.0,36.0,62.0,72,42,67,73,72,82,67
E. Choupo-Moting,"ST, LW",76,76,6000000.0,6.778151250383644,2023.0,2.0,32,4,2,71.0,73.0,68.0,78.0,38.0,73.0,74,75,74,78,64,78,76
C. Stuani,ST,76,76,3600000.0,6.556302500767287,2026.0,5.0,34,3,2,68.0,79.0,69.0,70.0,48.0,82.0,80,83,73,81,72,71,76
M. Balotelli,ST,76,76,7500000.0,6.8750612633917,2024.0,3.0,30,4,4,73.0,79.0,72.0,76.0,25.0,77.0,78,69,77,85,76,81,74
F. Smolov,ST,76,76,6500000.0,6.812913356642856,2022.0,1.0,31,3,2,81.0,76.0,71.0,74.0,32.0,72.0,76,69,76,80,73,74,79
G. Bou,"ST, CAM",76,76,6500000.0,6.812913356642856,2021.0,0.0,31,4,1,76.0,79.0,69.0,76.0,30.0,72.0,77,73,70,88,79,76,75
T. Pukki,ST,76,76,6500000.0,6.812913356642856,2022.0,1.0,31,3,1,76.0,76.0,60.0,75.0,34.0,68.0,81,63,74,75,66,77,84
A. Yarmolenko,"RM, RW, ST",76,76,6000000.0,6.778151250383644,2022.0,1.0,31,2,3,61.0,79.0,77.0,78.0,42.0,67.0,78,69,74,82,79,80,77
W. Khazri,"ST, CAM",76,76,7500000.0,6.8750612633917,2022.0,1.0,30,4,2,69.0,79.0,76.0,77.0,42.0,67.0,78,55,70,82,79,78,79
N. Sansone,"CAM, LW, ST",76,76,7500000.0,6.8750612633917,2023.0,2.0,29,3,2,78.0,72.0,71.0,80.0,44.0,55.0,72,63,74,72,72,81,75
S. Zaza,ST,76,76,7500000.0,6.8750612633917,2023.0,2.0,30,3,2,78.0,76.0,61.0,75.0,49.0,80.0,75,77,78,84,70,75,78
M. Niang,ST,76,79,10000000.0,7.0,2023.0,2.0,26,4,2,77.0,78.0,67.0,74.0,31.0,72.0,77,69,72,87,74,75,76
M. Batshuayi,ST,76,76,8000000.0,6.903089986991944,2022.0,1.0,27,5,2,73.0,77.0,59.0,76.0,33.0,69.0,78,75,76,81,73,77,78
N. Füllkrug,ST,76,76,7500000.0,6.8750612633917,2023.0,2.0,28,4,1,63.0,78.0,62.0,70.0,36.0,73.0,80,80,71,79,72,74,82
N. López,"RM, CAM, ST",76,76,8000000.0,6.903089986991944,2023.0,2.0,27,3,1,77.0,78.0,70.0,79.0,25.0,63.0,79,69,72,78,78,77,78
M. Dabbur,ST,76,76,7500000.0,6.8750612633917,2024.0,3.0,29,4,2,70.0,75.0,66.0,76.0,32.0,68.0,79,78,74,76,69,77,80
I. Toney,ST,76,80,10500000.0,7.021189299069938,2025.0,4.0,25,3,1,80.0,75.0,58.0,72.0,46.0,80.0,80,78,76,71,65,72,79
J. Maclaren,ST,76,76,8000000.0,6.903089986991944,2024.0,3.0,27,5,1,81.0,75.0,64.0,73.0,38.0,76.0,79,73,65,74,68,70,84
Hwang Ui Jo,"ST, LM",76,76,7500000.0,6.8750612633917,2023.0,2.0,28,4,2,78.0,77.0,64.0,74.0,42.0,73.0,78,71,73,77,77,75,79
D. Origi,"ST, LW",76,79,10000000.0,7.0,2024.0,3.0,26,4,2,79.0,75.0,67.0,75.0,27.0,74.0,76,74,70,80,70,77,77
S. Romero,ST,76,76,6000000.0,6.778151250383644,2023.0,2.0,32,3,1,70.0,75.0,72.0,77.0,47.0,74.0,76,76,75,79,68,79,80
J. Furch,ST,76,76,6500000.0,6.812913356642856,2021.0,0.0,31,3,1,53.0,77.0,61.0,69.0,39.0,78.0,81,80,70,79,72,75,81
B. Petković,"ST, CAM",76,77,9000000.0,6.954242509439325,2024.0,3.0,26,4,1,75.0,72.0,75.0,80.0,39.0,77.0,72,78,78,82,61,85,64
A. Petagna,ST,76,79,10000000.0,7.0,2024.0,3.0,26,3,2,61.0,75.0,68.0,76.0,34.0,81.0,78,78,66,80,62,80,79
K. Baldé,"ST, LM",76,79,10000000.0,7.0,2024.0,3.0,26,4,2,91.0,74.0,71.0,79.0,30.0,70.0,76,70,68,79,70,78,74
A. Sørloth,ST,76,79,10000000.0,7.0,2022.0,1.0,25,4,1,80.0,74.0,66.0,70.0,36.0,83.0,75,77,69,80,68,75,78
I. Slimani,ST,76,76,4800000.0,6.681241237375588,2022.0,1.0,33,3,3,47.0,76.0,73.0,69.0,47.0,80.0,77,78,76,81,68,74,81
A. Morelos,ST,76,81,11000000.0,7.041392685158225,2023.0,2.0,25,4,1,78.0,75.0,66.0,74.0,43.0,84.0,77,75,69,80,68,76,78
A. Armstrong,"ST, LW",76,82,12000000.0,7.079181246047625,2025.0,4.0,24,4,1,90.0,77.0,66.0,76.0,35.0,71.0,79,66,68,76,76,74,78
K. Piątek,ST,76,79,10000000.0,7.0,2025.0,4.0,26,3,2,75.0,77.0,53.0,72.0,36.0,71.0,81,77,74,78,67,75,81
O. Al Somah,ST,76,76,6000000.0,6.778151250383644,2024.0,3.0,32,4,2,68.0,79.0,69.0,72.0,39.0,80.0,80,77,77,85,76,75,74
Dyego Sousa,ST,76,76,6500000.0,6.812913356642856,2022.0,1.0,31,3,1,57.0,77.0,61.0,73.0,30.0,81.0,76,83,78,81,75,76,77
H. Martín,ST,76,76,7500000.0,6.8750612633917,2024.0,3.0,28,3,1,79.0,74.0,65.0,75.0,38.0,81.0,78,79,69,79,65,75,75
E. Boateng,ST,76,80,10500000.0,7.021189299069938,2022.0,1.0,25,4,1,91.0,74.0,58.0,75.0,40.0,77.0,77,77,73,78,66,69,73
P. Olayinka,"LM, RM, ST",76,78,9500000.0,6.977723605288848,2023.0,2.0,25,3,1,84.0,69.0,70.0,76.0,57.0,78.0,70,77,66,71,63,76,74
S. Mavididi,"LM, ST",76,81,11500000.0,7.060697840353612,2024.0,3.0,23,2,1,89.0,72.0,67.0,75.0,27.0,67.0,75,70,68,73,70,74,75
D. Bouanga,"LM, ST, RM",76,77,9000000.0,6.954242509439325,2023.0,2.0,26,4,2,80.0,75.0,70.0,78.0,38.0,69.0,75,69,70,76,74,79,76
C. Adams,ST,76,81,11500000.0,7.060697840353612,2024.0,3.0,24,3,1,84.0,77.0,62.0,74.0,40.0,77.0,76,63,70,86,75,75,77
Borja Mayoral,ST,76,81,11500000.0,7.060697840353612,2022.0,1.0,24,4,2,68.0,76.0,69.0,77.0,38.0,68.0,77,75,71,76,72,82,82
D. Lukébakio,"RM, ST",76,81,11500000.0,7.060697840353612,2022.0,1.0,23,3,2,84.0,75.0,69.0,79.0,31.0,60.0,74,56,66,83,71,79,75
Wesley,ST,76,80,11000000.0,7.041392685158225,2022.0,1.0,24,3,1,66.0,76.0,67.0,70.0,38.0,82.0,74,76,74,84,72,77,77
A. Ndiaye,"LM, ST, RM",76,79,10000000.0,7.0,2025.0,4.0,24,4,1,92.0,71.0,67.0,79.0,46.0,67.0,75,65,72,76,60,76,74
Toni Martínez,ST,76,83,15000000.0,7.176091259055681,2025.0,4.0,24,3,1,72.0,77.0,58.0,72.0,24.0,75.0,78,73,75,80,73,75,77
Brais Méndez,"RM, CM, ST",76,82,12000000.0,7.079181246047625,2024.0,3.0,24,3,1,71.0,74.0,76.0,74.0,50.0,63.0,75,52,65,73,77,77,77
A. Danjuma,"LW, LM, ST",76,80,11000000.0,7.041392685158225,2026.0,5.0,24,4,1,83.0,73.0,70.0,78.0,42.0,67.0,74,44,55,79,75,78,71
Melendo,"CAM, RM, ST",76,81,11500000.0,7.060697840353612,2022.0,1.0,23,2,1,78.0,66.0,75.0,78.0,48.0,60.0,65,45,63,70,66,78,75
M. Boadu,ST,76,85,16500000.0,7.217483944213907,2026.0,5.0,20,5,1,89.0,75.0,61.0,76.0,28.0,66.0,78,61,72,77,67,75,79
D. Rossi,"LW, ST, RW",76,84,16500000.0,7.217483944213907,2022.0,1.0,23,4,2,82.0,74.0,67.0,77.0,29.0,59.0,77,44,71,75,69,77,77
Loren,ST,76,77,9000000.0,6.954242509439325,2022.0,1.0,27,3,1,71.0,78.0,60.0,74.0,32.0,74.0,80,72,79,77,75,76,78
M. Barrow,"CAM, ST",76,83,15000000.0,7.176091259055681,2022.0,1.0,22,4,1,84.0,74.0,67.0,77.0,31.0,63.0,76,63,60,74,75,78,78
A. Hložek,"ST, LM, RM",76,87,16000000.0,7.204119982655925,2022.0,1.0,18,4,1,78.0,75.0,71.0,76.0,31.0,78.0,75,71,73,78,73,77,75
D. Núñez,ST,76,85,17000000.0,7.230448921378274,2025.0,4.0,22,3,1,84.0,75.0,69.0,73.0,40.0,84.0,75,73,67,83,70,75,74
L. López,ST,75,75,1900000.0,6.278753600952829,2022.0,1.0,38,4,2,63.0,77.0,70.0,74.0,49.0,65.0,77,77,75,80,73,77,80
R. Babel,"LM, ST",75,75,2600000.0,6.414973347970818,2022.0,1.0,34,3,3,77.0,79.0,71.0,77.0,39.0,75.0,77,65,67,85,82,77,72
M. Boselli,ST,75,75,1900000.0,6.278753600952829,2021.0,0.0,36,3,1,55.0,76.0,64.0,69.0,39.0,75.0,83,84,65,74,66,75,80
L. Refaelov,"CF, CAM, ST",75,75,2400000.0,6.380211241711606,2023.0,2.0,35,4,2,67.0,75.0,75.0,79.0,51.0,54.0,74,53,73,78,74,77,78
I. Scocco,ST,75,75,1900000.0,6.278753600952829,2021.0,0.0,36,4,2,70.0,79.0,73.0,80.0,35.0,64.0,77,54,76,83,80,80,79
G. Bergessio,ST,75,75,1900000.0,6.278753600952829,2021.0,0.0,36,4,1,50.0,77.0,60.0,65.0,33.0,73.0,83,83,67,78,63,73,84
M. Berg,"ST, CF",75,75,2700000.0,6.431363764158987,2023.0,2.0,34,4,1,71.0,75.0,63.0,72.0,35.0,71.0,77,74,70,75,72,73,83
S. Okaka,ST,75,75,4800000.0,6.681241237375588,2023.0,2.0,31,3,2,63.0,74.0,59.0,70.0,30.0,80.0,75,80,67,81,67,76,79
Ó. Cardozo,ST,75,75,1900000.0,6.278753600952829,2021.0,0.0,38,3,1,50.0,80.0,63.0,64.0,28.0,68.0,80,85,81,84,79,70,81
Alexandre Pato,"ST, LW, CAM",75,75,4800000.0,6.681241237375588,2021.0,0.0,31,4,3,77.0,74.0,69.0,76.0,32.0,69.0,74,69,70,76,71,78,77
N. Petersen,ST,75,75,4600000.0,6.662757831681574,2022.0,1.0,32,4,2,53.0,78.0,58.0,65.0,40.0,74.0,81,79,83,79,68,70,82
S. Terodde,ST,75,75,3600000.0,6.556302500767287,2022.0,1.0,33,3,1,54.0,78.0,54.0,66.0,38.0,78.0,81,81,77,80,69,72,80
C. Benteke,ST,75,75,5500000.0,6.740362689494244,2023.0,2.0,30,2,2,54.0,76.0,62.0,68.0,32.0,75.0,76,85,76,81,70,77,77
R. Alessandrini,"ST, RM",75,75,4600000.0,6.662757831681574,2021.0,0.0,32,4,2,84.0,78.0,72.0,78.0,45.0,67.0,75,53,75,83,80,78,77
O. Ighalo,ST,75,75,4600000.0,6.662757831681574,2023.0,2.0,32,3,2,67.0,77.0,65.0,73.0,42.0,75.0,78,71,76,81,73,74,77
J. King,"ST, LM",75,75,5500000.0,6.740362689494244,2023.0,2.0,29,3,1,79.0,76.0,68.0,76.0,38.0,70.0,75,68,73,77,75,76,75
N. Kalinić,ST,75,75,3600000.0,6.556302500767287,2022.0,1.0,33,4,3,63.0,74.0,64.0,73.0,42.0,67.0,79,77,74,77,60,76,81
A. Barnes,ST,75,75,4800000.0,6.681241237375588,2022.0,1.0,31,4,1,57.0,75.0,68.0,72.0,47.0,79.0,76,79,76,82,65,77,77
Júnior Negão,ST,75,75,2700000.0,6.431363764158987,2022.0,1.0,34,3,1,76.0,75.0,58.0,70.0,35.0,78.0,83,73,74,76,58,76,74
Diego Farías,"LW, CF, ST",75,75,4700000.0,6.672097857935717,2022.0,1.0,31,3,2,82.0,70.0,68.0,78.0,38.0,49.0,70,64,69,70,68,77,72
U. Dávila,"CAM, RM, ST",75,75,5500000.0,6.740362689494244,2024.0,3.0,30,4,1,76.0,75.0,72.0,78.0,45.0,69.0,75,65,71,75,76,75,68
F. Martínez,"ST, LM, RM",75,75,4800000.0,6.681241237375588,2022.0,1.0,31,3,1,88.0,72.0,65.0,74.0,32.0,69.0,76,67,72,65,64,76,79
A. Kokorin,"ST, RW",75,75,5500000.0,6.740362689494244,2024.0,3.0,30,3,2,78.0,74.0,71.0,78.0,43.0,67.0,73,74,71,76,73,77,79
Johnathan,"ST, CAM",75,75,4800000.0,6.681241237375588,2021.0,0.0,31,5,1,80.0,76.0,61.0,74.0,38.0,78.0,76,78,70,80,77,72,74
R. Hamouma,"ST, RM",75,75,2700000.0,6.431363764158987,2022.0,1.0,34,4,2,67.0,76.0,75.0,78.0,42.0,64.0,76,67,76,77,76,80,77
J. Ayew,"ST, RM",75,75,5500000.0,6.740362689494244,2022.0,1.0,29,3,2,76.0,74.0,70.0,78.0,46.0,72.0,74,75,73,76,73,77,76
Juanmi,"LM, ST, LW",75,75,5500000.0,6.740362689494244,2024.0,3.0,28,3,1,73.0,75.0,69.0,76.0,30.0,51.0,77,72,71,74,73,77,81
Samu Sáiz,"LM, CAM, ST",75,75,5500000.0,6.740362689494244,2023.0,2.0,30,3,1,77.0,67.0,72.0,80.0,25.0,63.0,66,40,61,68,69,78,71
Dani Rodríguez,"CAM, LM, ST",75,75,3500000.0,6.544068044350276,2023.0,2.0,33,3,1,85.0,75.0,74.0,72.0,63.0,69.0,78,56,46,72,77,76,70
M. Gabbiadini,ST,75,75,5500000.0,6.740362689494244,2026.0,5.0,29,3,2,67.0,79.0,71.0,76.0,26.0,62.0,79,66,72,82,77,79,79
M. Uth,"CAM, CF, ST",75,75,5500000.0,6.740362689494244,2023.0,2.0,29,2,2,73.0,77.0,72.0,76.0,40.0,68.0,75,67,74,83,78,77,74
G. Caprari,"CF, ST",75,75,6000000.0,6.778151250383644,2022.0,1.0,27,3,2,84.0,70.0,70.0,81.0,20.0,49.0,70,47,66,73,71,79,70
F. Castillo,"ST, LM, RM",75,75,5500000.0,6.740362689494244,2025.0,4.0,29,4,1,92.0,75.0,63.0,81.0,43.0,73.0,75,50,75,78,74,76,78
M. Elyounoussi,"LM, ST",75,75,6000000.0,6.778151250383644,2023.0,2.0,26,4,1,75.0,74.0,72.0,77.0,54.0,68.0,76,71,69,75,74,77,74
S. Bahoken,ST,75,75,5500000.0,6.740362689494244,2022.0,1.0,29,3,2,77.0,74.0,57.0,73.0,24.0,73.0,78,74,59,76,71,74,78
J. Campbell,"ST, RM",75,75,5500000.0,6.740362689494244,2022.0,1.0,29,2,1,81.0,75.0,73.0,77.0,41.0,75.0,75,65,68,80,72,75,76
L. Pavoletti,ST,75,75,4600000.0,6.662757831681574,2023.0,2.0,32,3,2,56.0,73.0,51.0,68.0,35.0,72.0,77,93,78,78,56,74,80
M. Livaja,"LW, CAM, ST",75,75,6000000.0,6.778151250383644,2024.0,3.0,27,5,1,79.0,75.0,67.0,76.0,32.0,77.0,76,73,70,82,69,79,75
L. Vietto,"CAM, LM, ST",75,75,6000000.0,6.778151250383644,2023.0,2.0,27,4,2,75.0,71.0,73.0,80.0,45.0,64.0,66,67,77,74,79,80,76
R. Ripart,"ST, LM, CM",75,75,6000000.0,6.778151250383644,2025.0,4.0,28,3,2,74.0,75.0,68.0,72.0,64.0,84.0,75,69,73,80,73,75,76
S. Larsson,"LW, ST",75,75,5500000.0,6.740362689494244,2023.0,2.0,28,2,1,76.0,72.0,73.0,80.0,38.0,59.0,69,40,66,76,80,78,70
A. Hahn,"ST, RM",75,75,5500000.0,6.740362689494244,2022.0,1.0,30,4,2,72.0,75.0,67.0,70.0,55.0,83.0,76,75,73,81,76,73,76
F. Niederlechner,ST,75,75,5500000.0,6.740362689494244,2022.0,1.0,30,4,2,72.0,76.0,63.0,73.0,35.0,79.0,76,69,78,83,69,74,76
F. Di Francesco,"CF, LW, ST",75,75,6000000.0,6.778151250383644,2022.0,1.0,27,4,1,79.0,70.0,73.0,81.0,39.0,60.0,67,40,72,74,70,82,74
D. Benedetto,ST,75,75,4800000.0,6.681241237375588,2022.0,1.0,31,3,2,76.0,76.0,66.0,74.0,38.0,72.0,75,76,72,78,76,76,78
L. Janson,"LW, ST",75,75,6000000.0,6.778151250383644,2023.0,2.0,26,3,1,84.0,73.0,66.0,79.0,36.0,63.0,75,72,68,69,74,76,77
A. Mitrović,ST,75,76,6500000.0,6.812913356642856,2024.0,3.0,26,4,1,63.0,76.0,56.0,70.0,27.0,84.0,76,80,73,82,70,76,77
Gonçalo Paciência,ST,75,76,6500000.0,6.812913356642856,2023.0,2.0,26,4,1,56.0,75.0,57.0,76.0,33.0,79.0,76,82,78,77,70,76,78
G. Simeone,ST,75,78,7500000.0,6.8750612633917,2022.0,1.0,25,3,2,76.0,74.0,59.0,75.0,37.0,70.0,75,76,72,79,66,75,78
M. Simon,"LM, ST, RM",75,76,6500000.0,6.812913356642856,2024.0,3.0,25,4,2,92.0,70.0,66.0,79.0,34.0,65.0,70,58,72,73,66,74,72
Carlos Júnior,"RM, ST, LM",75,76,6500000.0,6.812913356642856,2024.0,3.0,25,3,1,80.0,74.0,65.0,77.0,44.0,64.0,77,70,68,73,69,76,76
R. Martínez,"ST, LW, RW",75,76,6500000.0,6.812913356642856,2023.0,2.0,27,4,1,83.0,74.0,64.0,77.0,35.0,78.0,73,67,64,80,74,76,73
E. Valencia,"ST, RM, LM",75,75,4800000.0,6.681241237375588,2023.0,2.0,31,3,2,88.0,74.0,66.0,73.0,46.0,75.0,75,74,62,80,70,72,74
Carlos Fernández,"ST, CAM",75,80,8500000.0,6.929418925714293,2026.0,5.0,25,4,1,69.0,77.0,64.0,75.0,27.0,71.0,79,75,70,79,75,79,73
S. Driussi,"ST, LW",75,79,8000000.0,6.903089986991944,2022.0,1.0,25,2,1,81.0,74.0,71.0,74.0,26.0,69.0,75,71,71,75,74,75,72
U. Đurđević,ST,75,76,6500000.0,6.812913356642856,2023.0,2.0,27,2,1,79.0,79.0,54.0,71.0,31.0,85.0,79,64,79,82,81,68,77
Wu Lei,"ST, RM, LM",75,75,5500000.0,6.740362689494244,2024.0,3.0,29,3,1,83.0,71.0,69.0,75.0,40.0,69.0,71,71,70,75,66,75,76
Mariano,ST,75,75,6000000.0,6.778151250383644,2023.0,2.0,27,4,1,76.0,78.0,61.0,71.0,45.0,78.0,75,79,69,84,81,70,74
E. Ünal,ST,75,81,9000000.0,6.954242509439325,2025.0,4.0,24,3,1,68.0,77.0,64.0,75.0,36.0,77.0,75,73,74,85,72,76,74
V. Muriqi,ST,75,76,6500000.0,6.812913356642856,2025.0,4.0,27,3,1,56.0,75.0,55.0,67.0,28.0,82.0,77,79,70,78,67,74,77
F. Kamano,"LW, LM, ST",75,78,7500000.0,6.8750612633917,2024.0,3.0,25,4,1,85.0,73.0,67.0,76.0,35.0,61.0,73,49,67,74,74,75,74
W. Bou,ST,75,75,6000000.0,6.778151250383644,2022.0,1.0,27,2,1,75.0,75.0,68.0,76.0,46.0,74.0,75,70,73,78,73,74,78
H. Diallo,"ST, RM",75,78,7500000.0,6.8750612633917,2025.0,4.0,26,3,2,72.0,74.0,55.0,71.0,23.0,72.0,78,81,72,77,61,74,78
G. Kerk,"RW, ST",75,77,7000000.0,6.845098040014257,2025.0,4.0,25,2,1,93.0,70.0,65.0,75.0,34.0,74.0,72,61,67,72,66,73,75
Cesinha,"CAM, ST, LW",75,75,4700000.0,6.672097857935717,2022.0,1.0,31,5,1,79.0,78.0,72.0,75.0,32.0,70.0,77,58,70,82,80,76,78
Hwang Hee Chan,ST,75,78,7500000.0,6.8750612633917,2022.0,1.0,25,4,1,84.0,75.0,70.0,78.0,28.0,68.0,78,61,75,74,71,76,77
V. Janssen,"ST, CF",75,76,6500000.0,6.812913356642856,2024.0,3.0,27,4,1,75.0,73.0,62.0,70.0,39.0,84.0,72,72,63,82,68,73,77
T. Minamino,"RW, ST, LM",75,76,6500000.0,6.812913356642856,2024.0,3.0,26,4,1,79.0,73.0,69.0,81.0,36.0,63.0,75,50,70,71,73,78,70
C. Larin,"ST, LW, RW",75,76,6500000.0,6.812913356642856,2022.0,1.0,26,4,1,71.0,74.0,59.0,70.0,26.0,80.0,75,75,61,80,69,72,75
Fábio Abreu,ST,75,75,6000000.0,6.778151250383644,2022.0,1.0,28,3,1,78.0,75.0,54.0,71.0,26.0,76.0,77,77,72,77,68,72,77
A. Canelo,"ST, LM, LW",75,75,5500000.0,6.740362689494244,2022.0,1.0,29,4,1,87.0,79.0,64.0,72.0,28.0,72.0,83,70,57,75,80,70,75
Dênildo Stein,"ST, CF",75,75,1900000.0,6.278753600952829,2024.0,3.0,37,3,1,76.0,76.0,61.0,73.0,30.0,64.0,78,77,77,76,73,75,72
Formosandrinho,"ST, CF",75,75,5500000.0,6.740362689494244,2024.0,3.0,29,3,1,77.0,77.0,60.0,73.0,24.0,60.0,76,77,72,85,77,73,75
U. Sadiq,ST,75,81,9000000.0,6.954242509439325,2025.0,4.0,24,3,1,83.0,75.0,57.0,71.0,30.0,73.0,80,73,65,79,63,75,71
